排名,股票代码,股票名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,市盈率,市净率,总市值,更新时间
1,689009,九号公司-WD,-,-,-,-,-,-,-,-,-,46.45,19.13,4.67,33567420019,2026-03-27 09:01:58
2,688981,中芯国际,-,-,-,-,-,-,-,-,-,96.88,153.78,5.14,775181078206,2026-03-27 09:01:58
3,688819,天能股份,-,-,-,-,-,-,-,-,-,33.22,20.3,1.89,32293162000,2026-03-27 09:01:58
4,688818,电科蓝天,-,-,-,-,-,-,-,-,-,62.73,332.86,25.5,108957235620,2026-03-27 09:01:58
5,688816,易思维,-,-,-,-,-,-,-,-,-,62.83,82.1,8.37,6283000000,2026-03-27 09:01:58
6,688813,泰金新能,-,-,-,-,-,-,-,-,-,26.28,20.62,4.07,4204800000,2026-03-27 09:01:58
7,688811,有研复材,-,-,-,-,-,-,-,-,-,6.41,35.1,2.96,2379638580,2026-03-27 09:01:58
8,688809,强一股份,-,-,-,-,-,-,-,-,-,315.0,102.55,10.02,40811179500,2026-03-27 09:01:58
9,688807,优迅股份,-,-,-,-,-,-,-,-,-,211.84,192.31,9.6,16947200000,2026-03-27 09:01:58
10,688805,健信超导,-,-,-,-,-,-,-,-,-,43.16,96.35,5.92,7237068800,2026-03-27 09:01:58
11,688802,沐曦股份-U,-,-,-,-,-,-,-,-,-,605.81,-307.03,18.41,242384581000,2026-03-27 09:01:58
12,688800,瑞可达,-,-,-,-,-,-,-,-,-,88.29,59.14,7.65,18158987037,2026-03-27 09:01:58
13,688799,华纳药厂,-,-,-,-,-,-,-,-,-,49.06,26.68,3.15,6442559200,2026-03-27 09:01:58
14,688798,艾为电子,-,-,-,-,-,-,-,-,-,66.55,49.01,3.7,15514710726,2026-03-27 09:01:58
15,688796,百奥赛图,-,-,-,-,-,-,-,-,-,82.43,212.69,16.94,36837836761,2026-03-27 09:01:58
16,688795,摩尔线程-U,-,-,-,-,-,-,-,-,-,558.5,-256.28,22.96,262510759195,2026-03-27 09:01:58
17,688793,倍轻松,-,-,-,-,-,-,-,-,-,27.3,-26.28,9.72,2346309939,2026-03-27 09:01:58
18,688790,昂瑞微-UW,-,-,-,-,-,-,-,-,-,133.17,-111.27,4.76,13254634891,2026-03-27 09:01:58
19,688789,宏华数科,-,-,-,-,-,-,-,-,-,69.76,23.78,3.52,12574666024,2026-03-27 09:01:58
20,688788,科思科技,-,-,-,-,-,-,-,-,-,55.57,-29.82,4.75,8717510853,2026-03-27 09:01:58
21,688787,海天瑞声,-,-,-,-,-,-,-,-,-,135.67,581.5,11.04,8184317171,2026-03-27 09:01:58
22,688786,悦安新材,-,-,-,-,-,-,-,-,-,29.54,48.72,5.48,4247852089,2026-03-27 09:01:58
23,688785,恒运昌,-,-,-,-,-,-,-,-,-,292.79,173.3,18.54,19822377230,2026-03-27 09:01:58
24,688783,西安奕材-U,-,-,-,-,-,-,-,-,-,21.4,-117.12,6.95,86408920000,2026-03-27 09:01:58
25,688781,C视涯-UW,-,-,-,-,-,-,-,-,-,40.79,-192.1,18.54,40790000000,2026-03-27 09:01:58
26,688779,五矿新能,-,-,-,-,-,-,-,-,-,10.72,90.69,2.85,20681231368,2026-03-27 09:01:58
27,688778,厦钨新能,-,-,-,-,-,-,-,-,-,73.83,49.36,4.05,37261342658,2026-03-27 09:01:58
28,688777,中控技术,-,-,-,-,-,-,-,-,-,64.1,112.68,5.0,50715248681,2026-03-27 09:01:58
29,688776,国光电气,-,-,-,-,-,-,-,-,-,85.37,-96.14,5.28,9252692480,2026-03-27 09:01:58
30,688775,影石创新,-,-,-,-,-,-,-,-,-,182.66,75.98,12.52,73246660000,2026-03-27 09:01:58
31,688772,珠海冠宇,-,-,-,-,-,-,-,-,-,16.06,38.51,2.36,18182902406,2026-03-27 09:01:58
32,688768,容知日新,-,-,-,-,-,-,-,-,-,43.21,45.31,3.45,3801992289,2026-03-27 09:01:58
33,688767,博拓生物,-,-,-,-,-,-,-,-,-,31.29,99.85,1.97,4672640021,2026-03-27 09:01:58
34,688766,普冉股份,-,-,-,-,-,-,-,-,-,242.0,172.65,14.82,35827882684,2026-03-27 09:01:58
35,688765,禾元生物-U,-,-,-,-,-,-,-,-,-,63.53,-143.8,7.84,22711975000,2026-03-27 09:01:58
36,688759,必贝特-U,-,-,-,-,-,-,-,-,-,35.52,-104.42,9.57,15985302057,2026-03-27 09:01:58
37,688758,赛分科技,-,-,-,-,-,-,-,-,-,16.8,55.35,5.17,6996596611,2026-03-27 09:01:58
38,688757,胜科纳米,-,-,-,-,-,-,-,-,-,23.3,150.85,10.59,9397157624,2026-03-27 09:01:58
39,688755,汉邦科技,-,-,-,-,-,-,-,-,-,36.74,54.26,2.6,3233120000,2026-03-27 09:01:58
40,688750,金天钛业,-,-,-,-,-,-,-,-,-,17.59,137.26,3.3,8135375000,2026-03-27 09:01:58
41,688739,成大生物,-,-,-,-,-,-,-,-,-,23.99,72.6,1.05,9990635500,2026-03-27 09:01:58
42,688737,中自科技,-,-,-,-,-,-,-,-,-,26.53,-56.45,1.79,3172046424,2026-03-27 09:01:58
43,688733,壹石通,-,-,-,-,-,-,-,-,-,26.65,-240.66,2.53,5324008814,2026-03-27 09:01:58
44,688729,屹唐股份,-,-,-,-,-,-,-,-,-,21.81,96.1,7.22,64460763600,2026-03-27 09:01:58
45,688728,格科微,-,-,-,-,-,-,-,-,-,13.09,675.8,4.33,34041679471,2026-03-27 09:01:58
46,688727,恒坤新材,-,-,-,-,-,-,-,-,-,46.65,204.23,8.36,20960759340,2026-03-27 09:01:58
47,688726,拉普拉斯,-,-,-,-,-,-,-,-,-,61.11,40.47,6.09,24769483410,2026-03-27 09:01:58
48,688722,同益中,-,-,-,-,-,-,-,-,-,16.73,34.29,2.63,3758673891,2026-03-27 09:01:58
49,688721,龙图光罩,-,-,-,-,-,-,-,-,-,39.44,93.87,4.34,5265240000,2026-03-27 09:01:58
50,688720,艾森股份,-,-,-,-,-,-,-,-,-,62.18,108.6,5.32,5480130708,2026-03-27 09:01:58
51,688719,爱科赛博,-,-,-,-,-,-,-,-,-,42.29,-114.24,2.85,4879649327,2026-03-27 09:01:58
52,688718,唯赛勃,-,-,-,-,-,-,-,-,-,14.7,55.4,3.18,2554189518,2026-03-27 09:01:58
53,688717,艾罗能源,-,-,-,-,-,-,-,-,-,122.23,168.99,4.48,19556800000,2026-03-27 09:01:58
54,688716,中研股份,-,-,-,-,-,-,-,-,-,32.7,335.35,3.36,3978936000,2026-03-27 09:01:58
55,688712,北芯生命-U,-,-,-,-,-,-,-,-,-,37.0,191.37,16.44,15429000000,2026-03-27 09:01:58
56,688711,宏微科技,-,-,-,-,-,-,-,-,-,26.25,320.87,5.15,5593685816,2026-03-27 09:01:58
57,688710,益诺思,-,-,-,-,-,-,-,-,-,57.6,-266.1,3.5,8120425824,2026-03-27 09:01:58
58,688709,成都华微,-,-,-,-,-,-,-,-,-,41.38,111.99,8.62,26352729936,2026-03-27 09:01:58
59,688708,佳驰科技,-,-,-,-,-,-,-,-,-,50.7,46.49,5.79,20280507000,2026-03-27 09:01:58
60,688707,振华新材,-,-,-,-,-,-,-,-,-,13.68,-16.1,1.74,6959566004,2026-03-27 09:01:58
61,688702,盛科通信-U,-,-,-,-,-,-,-,-,-,168.56,-461.21,30.99,69109600000,2026-03-27 09:01:58
62,688701,卓锦股份,-,-,-,-,-,-,-,-,-,9.52,-22.28,8.98,1278320581,2026-03-27 09:01:58
63,688700,东威科技,-,-,-,-,-,-,-,-,-,52.51,121.08,8.48,15669055414,2026-03-27 09:01:58
64,688699,明微电子,-,-,-,-,-,-,-,-,-,43.1,-102.13,3.98,4743785984,2026-03-27 09:01:58
65,688698,伟创电气,-,-,-,-,-,-,-,-,-,67.38,53.74,6.13,14420854512,2026-03-27 09:01:58
66,688697,纽威数控,-,-,-,-,-,-,-,-,-,14.16,21.4,3.5,6475840661,2026-03-27 09:01:58
67,688696,极米科技,-,-,-,-,-,-,-,-,-,89.17,43.58,2.01,6243683400,2026-03-27 09:01:58
68,688695,中创股份,-,-,-,-,-,-,-,-,-,24.12,-101.13,2.63,2051439237,2026-03-27 09:01:58
69,688693,锴威特,-,-,-,-,-,-,-,-,-,45.75,-36.94,4.21,3371052653,2026-03-27 09:01:58
70,688692,达梦数据,-,-,-,-,-,-,-,-,-,209.27,45.85,6.41,23697734800,2026-03-27 09:01:58
71,688691,灿芯股份,-,-,-,-,-,-,-,-,-,93.04,-97.03,9.06,11164800000,2026-03-27 09:01:58
72,688690,纳微科技,-,-,-,-,-,-,-,-,-,24.14,71.67,5.07,9748088427,2026-03-27 09:01:58
73,688689,银河微电,-,-,-,-,-,-,-,-,-,32.22,51.67,3.01,4153263069,2026-03-27 09:01:58
74,688687,凯因科技,-,-,-,-,-,-,-,-,-,19.44,112.15,1.92,3323159564,2026-03-27 09:01:58
75,688686,奥普特,-,-,-,-,-,-,-,-,-,89.15,59.44,3.56,10897290813,2026-03-27 09:01:58
76,688685,迈信林,-,-,-,-,-,-,-,-,-,44.31,116.46,7.75,6506997365,2026-03-27 09:01:58
77,688683,莱尔科技,-,-,-,-,-,-,-,-,-,31.8,120.64,4.29,5122910040,2026-03-27 09:01:58
78,688682,霍莱沃,-,-,-,-,-,-,-,-,-,41.94,-189.41,6.98,4271123256,2026-03-27 09:01:58
79,688681,科汇股份,-,-,-,-,-,-,-,-,-,18.53,41.27,3.16,1939535100,2026-03-27 09:01:58
80,688680,海优新材,-,-,-,-,-,-,-,-,-,49.21,-9.5,3.66,4566707290,2026-03-27 09:01:58
81,688679,通源环境,-,-,-,-,-,-,-,-,-,45.1,-147.88,5.4,5939204343,2026-03-27 09:01:58
82,688678,福立旺,-,-,-,-,-,-,-,-,-,26.91,140.34,3.8,7748282816,2026-03-27 09:01:58
83,688677,海泰新光,-,-,-,-,-,-,-,-,-,37.51,26.2,3.34,4496586270,2026-03-27 09:01:58
84,688676,金盘科技,-,-,-,-,-,-,-,-,-,77.9,54.31,7.11,35817201956,2026-03-27 09:01:58
85,688671,碧兴物联,-,-,-,-,-,-,-,-,-,21.37,-19.94,1.65,1677948893,2026-03-27 09:01:58
86,688670,金迪克,-,-,-,-,-,-,-,-,-,17.02,-12.09,1.91,2096864000,2026-03-27 09:01:58
87,688669,聚石化学,-,-,-,-,-,-,-,-,-,26.17,-26.78,2.68,3175293351,2026-03-27 09:01:58
88,688668,鼎通科技,-,-,-,-,-,-,-,-,-,132.16,76.28,9.31,18406003289,2026-03-27 09:01:58
89,688667,菱电电控,-,-,-,-,-,-,-,-,-,98.66,38.58,2.91,5198933788,2026-03-27 09:01:58
90,688665,四方光电,-,-,-,-,-,-,-,-,-,43.63,33.53,3.8,4415021838,2026-03-27 09:01:58
91,688663,新风光,-,-,-,-,-,-,-,-,-,60.1,89.31,6.07,8502623460,2026-03-27 09:01:58
92,688662,富信科技,-,-,-,-,-,-,-,-,-,58.27,128.91,7.04,5141744800,2026-03-27 09:01:58
93,688661,和林微纳,-,-,-,-,-,-,-,-,-,80.0,409.98,9.9,12151026080,2026-03-27 09:01:58
94,688660,电气风电,-,-,-,-,-,-,-,-,-,12.88,-17.37,4.14,17173334192,2026-03-27 09:01:58
95,688659,元琛科技,-,-,-,-,-,-,-,-,-,9.68,-51.3,3.02,1548800000,2026-03-27 09:01:58
96,688658,悦康药业,-,-,-,-,-,-,-,-,-,17.1,-29.33,2.32,7695000000,2026-03-27 09:01:58
97,688657,浩辰软件,-,-,-,-,-,-,-,-,-,42.79,55.88,1.98,2803356384,2026-03-27 09:01:58
98,688656,浩欧博,-,-,-,-,-,-,-,-,-,121.39,332.14,9.4,7705805639,2026-03-27 09:01:58
99,688655,迅捷兴,-,-,-,-,-,-,-,-,-,25.81,-161.07,5.24,3442795900,2026-03-27 09:01:58
