排名,股票代码,股票名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,市盈率,市净率,总市值,更新时间
44,000722,湖南发展,19.06,4.267,0.0,35186139.0,666140632.0,0,19.69,18.58,18.58,18.28,0,0,0,2026-03-27 09:32:30
45,300501,海顺新材,18.66,4.246,0.0,6008104.0,112824400.0,0,19.26,18.46,18.46,17.9,0,0,0,2026-03-27 09:32:30
46,000968,蓝焰控股,11.39,4.209,0.0,30740552.0,350029912.0,0,11.54,11.2,11.2,10.93,0,0,0,2026-03-27 09:32:30
47,002745,木林森,8.81,4.137,0.0,7287220.0,63336111.0,0,8.96,8.5,8.51,8.46,0,0,0,2026-03-27 09:32:30
48,603288,海天味业,38.47,4.114,0.0,3465906.0,132105459.0,0,38.58,37.64,37.9,36.95,0,0,0,2026-03-27 09:32:30
49,000545,金浦钛业,3.44,3.927,0.0,9941900.0,33366855.0,0,3.45,3.23,3.26,3.31,0,0,0,2026-03-27 09:32:30
50,688019,安集科技,239.0,3.918,0.0,319262.0,75785350.0,0,243.0,233.67,234.0,229.99,0,0,0,2026-03-27 09:32:30
51,300960,通业科技,23.84,3.878,0.0,413500.0,9752348.0,0,23.88,22.97,23.06,22.95,0,0,0,2026-03-27 09:32:30
52,000593,德龙汇能,15.3,3.87,0.0,1916600.0,28534557.0,0,15.34,14.6,14.67,14.73,0,0,0,2026-03-27 09:32:30
53,002637,赞宇科技,11.56,3.863,0.0,2711074.0,30748189.0,0,11.6,11.01,11.02,11.13,0,0,0,2026-03-27 09:32:30
54,601678,滨化股份,5.12,3.854,0.0,14803300.0,74271894.0,0,5.13,4.91,4.94,4.93,0,0,0,2026-03-27 09:32:30
55,688302,海创药业,39.38,3.795,0.0,206786.0,8072528.0,0,39.44,38.21,38.61,37.94,0,0,0,2026-03-27 09:32:30
56,000908,ST景峰,7.68,3.784,0.0,9763300.0,75173931.0,0,7.75,7.55,7.75,7.4,0,0,0,2026-03-27 09:32:30
57,000833,粤桂股份,25.6,3.77,0.0,6893600.0,175066377.0,0,25.8,24.41,24.41,24.67,0,0,0,2026-03-27 09:32:30
58,300994,久祺股份,15.69,3.77,0.0,1323080.0,20486242.0,0,15.87,15.1,15.28,15.12,0,0,0,2026-03-27 09:32:30
59,301357,北方长龙,123.66,3.742,0.0,586365.0,71466370.0,0,124.0,117.64,118.0,119.2,0,0,0,2026-03-27 09:32:30
60,000553,安道麦A,6.11,3.735,0.0,2108301.0,12714335.0,0,6.13,5.81,5.81,5.89,0,0,0,2026-03-27 09:32:30
61,002199,*ST东晶,8.36,3.722,0.0,1056300.0,8730298.0,0,8.36,8.09,8.26,8.06,0,0,0,2026-03-27 09:32:30
62,603429,*ST集友,9.24,3.704,0.0,4477640.0,41038134.0,0,9.36,9.01,9.01,8.91,0,0,0,2026-03-27 09:32:30
63,300560,中富通,15.14,3.699,0.0,1738200.0,26021876.0,0,15.32,14.32,14.39,14.6,0,0,0,2026-03-27 09:32:30
64,001369,双欣材料,16.38,3.671,0.0,4386921.0,70427635.0,0,16.38,15.6,15.65,15.8,0,0,0,2026-03-27 09:32:30
65,688106,金宏气体,28.94,3.653,0.0,3456910.0,99174616.0,0,29.0,28.2,28.46,27.92,0,0,0,2026-03-27 09:32:30
66,603529,爱玛科技,33.06,3.604,0.0,3537936.0,115407602.0,0,33.11,32.0,32.09,31.91,0,0,0,2026-03-27 09:32:30
67,600233,圆通速递,20.7,3.552,0.0,1844300.0,37791866.0,0,20.76,20.05,20.05,19.99,0,0,0,2026-03-27 09:32:30
68,301090,华润材料,7.78,3.457,0.0,2057000.0,15717484.0,0,7.82,7.46,7.47,7.52,0,0,0,2026-03-27 09:32:30
69,600714,金瑞矿业,18.58,3.452,0.0,2592700.0,47570001.0,0,18.6,17.87,18.01,17.96,0,0,0,2026-03-27 09:32:30
70,002569,*ST步森,14.45,3.436,0.0,909400.0,13064311.0,0,14.6,13.97,14.28,13.97,0,0,0,2026-03-27 09:32:30
71,300383,光环新网,17.66,3.396,0.0,34755426.0,607025331.0,0,17.83,17.09,17.5,17.08,0,0,0,2026-03-27 09:32:30
72,603216,梦天家居,33.0,3.383,0.0,526900.0,17214007.0,0,33.25,31.53,32.0,31.92,0,0,0,2026-03-27 09:32:30
73,603967,中创物流,13.26,3.352,0.0,877630.0,11558160.0,0,13.38,12.9,12.99,12.83,0,0,0,2026-03-27 09:32:30
74,000890,法尔胜,12.66,3.347,0.0,15192700.0,195835083.0,0,13.23,12.45,13.09,12.25,0,0,0,2026-03-27 09:32:30
75,688710,益诺思,59.52,3.333,0.0,115818.0,6816771.0,0,59.63,58.07,58.69,57.6,0,0,0,2026-03-27 09:32:30
76,000912,泸天化,5.41,3.244,0.0,13432591.0,71572770.0,0,5.45,5.09,5.09,5.24,0,0,0,2026-03-27 09:32:30
77,688251,井松智能,36.18,3.224,0.0,228465.0,8076764.0,0,36.18,34.81,35.0,35.05,0,0,0,2026-03-27 09:32:30
78,300561,*ST汇科,14.09,3.223,0.0,1791310.0,24860734.0,0,14.18,13.51,13.51,13.65,0,0,0,2026-03-27 09:32:30
