排名,股票代码,股票名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,市盈率,市净率,总市值,更新时间
1,300668,杰恩设计,42.65,18.47,6.65,162739,651894615.08,21.42,43.2,35.49,36.35,36.0,217.86,6.55,5134261293,2026-03-27 08:46:48
2,301306,西测测试,154.32,16.28,21.61,146488,2112016791.27,19.78,159.25,133.0,136.0,132.71,-92.17,14.23,13024608000,2026-03-27 08:46:48
3,301292,海科新源,80.24,16.27,11.23,327526,2552791103.26,20.01,82.81,69.0,69.0,69.01,-104.73,6.6,17877133227,2026-03-27 08:46:48
4,300736,百邦科技,22.61,13.05,2.61,171726,379471446.11,17.6,23.41,19.89,19.99,20.0,-126.19,35.09,2892595066,2026-03-27 08:46:48
5,301587,中瑞股份,27.03,10.33,2.53,208477,566151165.86,17.47,28.49,24.21,24.56,24.5,118.84,1.99,3982276921,2026-03-27 08:46:48
6,002263,大东南,3.7,10.12,0.34,758193,276128227.24,11.01,3.7,3.33,3.36,3.36,432.26,2.51,6949932370,2026-03-27 08:46:48
7,000692,惠天热电,4.9,10.11,0.45,312230,148400780.5,12.81,4.9,4.33,4.39,4.45,-6.18,-20.22,2610881582,2026-03-27 08:46:48
8,000720,新能泰山,5.01,10.11,0.46,211712,106067571.72,0.0,5.01,5.01,5.01,4.55,-1189.96,2.67,6295223171,2026-03-27 08:46:48
9,600310,广西能源,6.0,10.09,0.55,1995784,1118519214.0,14.68,6.0,5.2,5.31,5.45,-41.69,3.2,8794264332,2026-03-27 08:46:48
10,600726,华电能源,6.77,10.08,0.62,5967171,3760289391.0,15.45,6.77,5.82,6.21,6.15,150.27,13.02,53532666142,2026-03-27 08:46:48
11,601908,京运通,5.03,10.07,0.46,2775282,1331663754.0,12.47,5.03,4.46,4.5,4.57,-40.06,1.38,12145452391,2026-03-27 08:46:48
12,002471,中超控股,8.76,10.05,0.8,1315301,1152180502.56,0.75,8.76,8.7,8.76,7.96,-359.97,6.87,11990337600,2026-03-27 08:46:48
13,603520,司太立,10.3,10.04,0.94,384204,389398940.0,10.47,10.3,9.32,9.36,9.36,117.49,1.74,4515621774,2026-03-27 08:46:48
14,600207,安彩高科,6.58,10.03,0.6,921017,580191692.0,14.21,6.58,5.73,5.91,5.98,-15.04,3.0,7167676605,2026-03-27 08:46:48
15,002361,神剑股份,12.4,10.03,1.13,1581372,1875878837.51,10.74,12.4,11.19,11.51,11.27,291.71,5.33,11792833616,2026-03-27 08:46:48
16,002109,兴化股份,4.94,10.02,0.45,1103639,528144314.5,8.91,4.94,4.54,4.54,4.49,-11.17,1.55,6304773064,2026-03-27 08:46:48
17,003018,金富科技,28.22,10.02,2.57,83193,231195267.12,9.04,28.22,25.9,26.0,25.65,58.89,4.6,7337200000,2026-03-27 08:46:48
18,002902,铭普光磁,28.55,10.02,2.6,278134,787010913.94,4.01,28.55,27.51,28.0,25.95,-33.64,7.95,6709508720,2026-03-27 08:46:48
19,605555,德昌股份,16.81,10.01,1.53,174830,285205589.0,9.49,16.81,15.36,15.48,15.28,37.68,2.7,8137200562,2026-03-27 08:46:48
20,002782,可立克,26.16,10.01,2.38,322117,825489297.47,11.19,26.16,23.5,23.75,23.78,43.3,5.85,12974418580,2026-03-27 08:46:48
21,002192,融捷股份,70.91,10.01,6.45,406672,2839523037.38,8.21,70.91,65.62,67.06,64.46,66.05,5.21,18412150445,2026-03-27 08:46:48
22,603538,美诺华,35.62,10.01,3.24,287843,1013602040.0,6.02,35.62,33.67,33.67,32.38,61.39,3.5,7852434842,2026-03-27 08:46:48
