排名,股票代码,股票名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,市盈率,市净率,总市值,更新时间
23,603026,石大胜华,85.32,10.01,7.76,240728,2006122746.0,11.1,85.32,76.71,76.75,77.56,-239.39,4.11,19854050514,2026-03-27 08:46:48
24,002149,西部材料,46.74,10.0,4.25,946932,4253374469.45,10.19,46.74,42.41,43.74,42.49,247.12,7.83,22819135167,2026-03-27 08:46:48
25,603687,大胜达,16.5,10.0,1.5,1007493,1589996065.0,11.27,16.5,14.81,15.22,15.0,74.86,2.78,9075525756,2026-03-27 08:46:48
26,000965,天保基建,4.18,10.0,0.38,763785,319187653.26,2.11,4.18,4.1,4.18,3.8,241.5,0.85,4639093141,2026-03-27 08:46:48
27,000037,深南电A,11.99,10.0,1.09,702197,789012934.29,13.85,11.99,10.48,10.5,10.9,-271.79,4.92,7227123526,2026-03-27 08:46:48
28,603272,联翔股份,29.38,10.0,2.67,76272,217169262.0,11.91,29.38,26.2,27.27,26.71,1040.66,5.46,3044561260,2026-03-27 08:46:48
29,002082,万邦德,23.67,9.99,2.15,502251,1143015618.11,9.99,23.67,21.52,21.88,21.52,-72.84,5.83,14478679932,2026-03-27 08:46:48
30,000722,湖南发展,18.28,9.99,1.66,1114203,2020618411.25,4.57,18.28,17.52,17.78,16.62,99.39,2.7,8484813395,2026-03-27 08:46:48
31,001367,海森药业,24.12,9.99,2.19,65973,158715307.39,1.64,24.12,23.76,23.76,21.93,27.04,2.46,3674710944,2026-03-27 08:46:48
32,603937,丽岛新材,14.32,9.98,1.3,158820,222114007.0,8.99,14.32,13.15,13.18,13.02,-151.4,1.94,2991290136,2026-03-27 08:46:48
33,603601,再升科技,13.44,9.98,1.22,4225054,5615861364.0,4.83,13.44,12.85,13.44,12.22,141.71,6.3,15353062650,2026-03-27 08:46:48
34,603217,元利科技,24.68,9.98,2.24,38739,93989858.0,10.56,24.68,22.31,22.31,22.44,25.27,1.53,5135601968,2026-03-27 08:46:48
35,002705,新宝股份,14.77,9.98,1.34,506496,743152835.07,3.5,14.77,14.3,14.48,13.43,11.97,1.39,11991405271,2026-03-27 08:46:48
36,000767,晋控电力,4.63,9.98,0.42,2101889,961523391.86,5.94,4.63,4.38,4.46,4.21,33.88,2.27,14246242474,2026-03-27 08:46:48
37,601515,衢州东峰,4.41,9.98,0.4,342941,149340508.0,9.23,4.41,4.04,4.04,4.01,-66.65,1.63,8486915659,2026-03-27 08:46:48
38,600682,南京新百,7.06,9.97,0.64,321303,221033323.0,8.88,7.06,6.49,6.55,6.42,33.53,0.54,9496633480,2026-03-27 08:46:48
39,000968,蓝焰控股,10.93,9.96,0.99,987122,1022050344.91,10.36,10.93,9.9,9.96,9.94,29.59,1.71,10574804074,2026-03-27 08:46:48
40,600163,中闽能源,8.29,9.95,0.75,773616,640983943.0,1.86,8.29,8.15,8.29,7.54,36.07,2.27,15775838025,2026-03-27 08:46:48
41,600844,金煤科技,4.54,9.93,0.41,1846895,794584862.0,11.86,4.54,4.05,4.07,4.13,-38.98,33.03,4615020050,2026-03-27 08:46:48
42,002692,远程股份,5.98,9.93,0.54,320448,187970227.56,10.48,5.98,5.41,5.42,5.44,65.21,3.54,4294513080,2026-03-27 08:46:48
43,600800,渤海化学,5.21,9.92,0.47,593992,308052227.0,6.54,5.21,4.9,4.9,4.74,-7.49,4.87,5783335575,2026-03-27 08:46:48
44,000927,中国铁物,3.34,9.87,0.3,5628399,1862552681.13,5.26,3.34,3.18,3.19,3.04,33.49,2.1,20208181161,2026-03-27 08:46:48
45,600780,通宝能源,8.43,9.77,0.75,1759261,1405632845.0,13.15,8.45,7.44,7.67,7.68,14.9,1.18,9665016269,2026-03-27 08:46:48
46,301312,智立方,95.35,8.91,7.8,115014,1094910402.58,18.13,100.87,85.0,87.17,87.55,123.88,9.38,11554571354,2026-03-27 08:46:48
47,300501,海顺新材,17.9,8.75,1.44,283065,493114712.46,14.58,18.65,16.25,16.7,16.46,-148.9,2.47,3464332097,2026-03-27 08:46:48
48,300749,顶固集创,33.56,8.68,2.68,192505,644651585.6,17.58,35.99,30.56,31.25,30.88,440.65,12.14,6885485064,2026-03-27 08:46:48
49,603115,海星股份,39.48,8.67,3.15,233147,919251388.0,6.47,39.96,37.61,38.0,36.33,48.68,4.62,9549832992,2026-03-27 08:46:48
50,000973,佛塑科技,18.46,8.4,1.43,880220,1608462976.14,10.69,18.73,16.91,17.03,17.03,405.56,6.14,45379050700,2026-03-27 08:46:48
51,688307,中润光学,76.25,8.22,5.79,120470,906733559.0,16.28,80.5,69.03,69.03,70.46,106.67,7.5,6769017500,2026-03-27 08:46:48
52,300168,万达信息,5.95,8.18,0.45,810012,496609149.28,9.45,6.43,5.91,5.91,5.5,-15.77,6.95,8571740027,2026-03-27 08:46:48
53,000659,珠海中富,4.51,8.15,0.34,1192812,531146068.82,9.59,4.58,4.18,4.18,4.17,-81.1,34.11,5798518365,2026-03-27 08:46:48
54,301246,宏源药业,21.91,7.98,1.62,384637,858184665.82,17.25,23.8,20.3,20.31,20.29,-5974.69,2.02,8764148988,2026-03-27 08:46:48
55,001389,广合科技,114.93,7.95,8.46,187712,2159262572.18,9.72,117.12,106.77,107.0,106.47,75.02,12.3,54298274176,2026-03-27 08:46:48
56,688353,华盛锂电,119.89,7.74,8.61,158873,1913479148.0,16.43,128.17,109.89,109.89,111.28,1441.21,5.43,19122455000,2026-03-27 08:46:48
57,301150,中一科技,52.71,7.59,3.72,214157,1139011853.43,14.86,55.48,48.2,48.27,48.99,238.27,3.45,12293736046,2026-03-27 08:46:48
58,600257,大湖股份,6.7,7.54,0.47,399881,261262150.0,9.15,6.8,6.23,6.24,6.23,-4275.62,4.05,3224289160,2026-03-27 08:46:48
59,600758,辽宁能源,6.14,7.34,0.42,4366364,2542776116.0,18.71,6.29,5.22,5.72,5.72,-60.4,1.47,8117186799,2026-03-27 08:46:48
60,300879,大叶股份,28.07,7.34,1.92,194603,538116418.53,11.78,28.86,25.78,25.81,26.15,34.42,4.12,5681335242,2026-03-27 08:46:48
61,300955,嘉亨家化,34.18,7.32,2.33,56907,189530023.08,9.17,34.58,31.66,31.79,31.85,-87.59,3.93,3445344000,2026-03-27 08:46:48
62,002219,新里程,2.5,7.3,0.17,3755970,944493828.97,9.44,2.56,2.34,2.35,2.33,-165.11,4.3,8468454383,2026-03-27 08:46:48
63,600935,华塑股份,3.02,7.09,0.2,2013369,611125450.0,9.93,3.1,2.82,2.83,2.82,-67.91,1.81,10856108929,2026-03-27 08:46:48
64,002759,天际股份,35.57,7.07,2.35,985414,3504755585.24,9.75,36.54,33.3,33.9,33.22,-131.81,5.75,17834179260,2026-03-27 08:46:48
65,688157,松井股份,36.97,7.0,2.42,39314,145168853.0,10.85,37.98,34.23,35.0,34.55,264.66,4.33,5783257028,2026-03-27 08:46:48
66,688737,中自科技,26.53,6.93,1.72,42553,111805421.0,9.23,27.16,24.87,25.2,24.81,-56.45,1.79,3172046424,2026-03-27 08:46:48
67,000899,赣能股份,15.17,6.91,0.98,1162067,1739260210.52,13.67,15.61,13.67,13.91,14.19,12.75,2.35,14801031619,2026-03-27 08:46:48
68,300342,天银机电,50.73,6.67,3.17,745214,3636913628.55,12.09,51.95,46.2,48.66,47.56,666.31,13.75,21562031282,2026-03-27 08:46:48
69,300483,首华燃气,23.36,6.62,1.45,708731,1585168059.13,13.6,24.05,21.07,21.87,21.91,52.67,2.91,8918761101,2026-03-27 08:46:48
70,300497,富祥药业,18.44,6.59,1.14,1174825,2118283001.06,8.61,18.59,17.1,17.29,17.3,-187.17,4.54,9932686343,2026-03-27 08:46:48
71,002108,沧州明珠,4.86,6.58,0.3,1660863,816295961.99,10.53,5.02,4.54,4.56,4.56,42.99,1.61,8012187281,2026-03-27 08:46:48
72,603334,丰倍生物,52.28,6.56,3.22,36240,186382133.0,8.66,53.16,48.91,48.91,49.06,47.97,6.43,7502180000,2026-03-27 08:46:48
73,600396,华电辽能,8.88,6.47,0.54,3450974,3090449580.0,9.23,9.17,8.4,8.96,8.34,2950.53,9.68,13077636535,2026-03-27 08:46:48
74,603229,奥翔药业,9.79,6.41,0.59,134900,128932233.0,6.74,9.82,9.2,9.21,9.2,29.45,3.46,8128609050,2026-03-27 08:46:48
75,002209,达 意 隆,15.45,6.4,0.93,139860,213630900.4,8.61,15.8,14.55,14.55,14.52,22.34,3.75,3074998823,2026-03-27 08:46:48
76,600098,广州发展,8.36,6.36,0.5,883026,717136663.0,9.8,8.5,7.73,7.77,7.86,10.18,1.07,29309031241,2026-03-27 08:46:48
77,001283,豪鹏科技,73.5,6.2,4.29,133254,966184719.38,6.75,73.97,69.3,69.8,69.21,31.45,2.13,7345815425,2026-03-27 08:46:48
78,002240,盛新锂能,38.39,6.2,2.24,671452,2550545548.85,8.77,38.87,35.7,35.81,36.15,-35.03,3.35,35138131746,2026-03-27 08:46:48
79,002203,海亮股份,13.91,6.18,0.81,532572,732985543.86,7.63,14.07,13.07,13.16,13.1,25.86,1.9,31878315861,2026-03-27 08:46:48
80,300072,海新能科,5.73,6.11,0.33,1738414,971716309.34,7.59,5.73,5.32,5.37,5.4,174.25,2.23,13463897330,2026-03-27 08:46:48
81,002738,中矿资源,68.22,6.06,3.9,438539,2966807299.58,8.3,69.49,64.15,64.64,64.32,180.76,4.1,49220175849,2026-03-27 08:46:48
82,688550,瑞联新材,44.9,6.05,2.56,49593,215881602.0,7.06,45.0,42.01,42.7,42.34,25.11,2.37,7805615266,2026-03-27 08:46:48
83,301327,华宝新能,71.66,5.96,4.03,124449,890600760.44,11.43,74.73,67.0,67.59,67.63,65.77,2.02,12496167971,2026-03-27 08:46:48
84,600167,联美控股,7.51,5.92,0.42,616206,452636776.0,10.16,7.68,6.96,7.09,7.09,23.46,1.57,16993931877,2026-03-27 08:46:48
85,600382,广东明珠,8.65,5.88,0.48,387611,337246651.0,9.67,8.9,8.11,8.17,8.17,19.27,2.11,6006629970,2026-03-27 08:46:48
86,603819,神力股份,12.57,5.81,0.69,137292,171131802.0,10.02,12.99,11.8,11.88,11.88,119.77,3.41,2736868451,2026-03-27 08:46:48
87,000990,诚志股份,10.02,5.81,0.55,1112464,1092439376.58,8.45,10.16,9.36,9.45,9.47,88.17,0.68,12176680101,2026-03-27 08:46:48
88,301373,凌玮科技,67.99,5.79,3.72,103712,710189076.81,18.27,73.35,61.61,62.54,64.27,53.59,4.47,7375017467,2026-03-27 08:46:48
89,000762,西藏矿业,28.8,5.77,1.57,400185,1134253843.45,8.52,29.28,26.96,27.01,27.23,-1558.69,5.1,14999594112,2026-03-27 08:46:48
90,688125,安达智能,238.5,5.76,13.0,12491,288168059.0,7.63,238.5,221.3,227.68,225.5,-175.18,10.72,19587135906,2026-03-27 08:46:48
91,603016,新宏泰,41.0,5.7,2.21,91978,369911759.0,11.78,42.65,38.08,38.41,38.79,95.29,7.37,6074560000,2026-03-27 08:46:48
92,688143,长盈通,58.64,5.66,3.14,156989,919462486.0,9.82,60.48,55.03,56.0,55.5,324.96,5.6,7551706229,2026-03-27 08:46:48
93,603659,璞泰来,34.17,5.63,1.82,1314938,4492123968.0,10.14,35.43,32.15,32.3,32.35,30.94,3.57,73000756427,2026-03-27 08:46:48
94,600722,金牛化工,17.85,5.62,0.95,1615507,2830182071.0,10.0,18.19,16.5,16.98,16.9,252.79,9.83,12143706217,2026-03-27 08:46:48
95,300205,*ST天喻,6.24,5.58,0.33,105125,64587577.15,5.75,6.25,5.91,5.95,5.91,-16.18,2.73,2683549440,2026-03-27 08:46:48
96,300040,九洲集团,9.33,5.54,0.49,1882155,1660472024.88,12.1,9.34,8.27,8.57,8.84,104.42,2.34,6003019368,2026-03-27 08:46:48
97,600719,大连热电,7.5,5.49,0.39,673122,501519321.0,10.83,7.77,7.0,7.04,7.11,-32.04,9.89,3034497000,2026-03-27 08:46:48
98,300245,天玑科技,14.1,5.46,0.73,664383,913208167.21,7.7,14.11,13.08,13.37,13.37,-75.17,3.56,4301204563,2026-03-27 08:46:48
99,000966,长源电力,5.87,5.39,0.3,3641931,2061963293.94,10.41,5.95,5.37,5.52,5.57,44.91,1.48,20433675544,2026-03-27 08:46:48
100,603629,利通电子,66.05,5.38,3.37,403797,2680627734.0,8.44,68.29,63.0,63.31,62.68,60.19,9.19,17330199000,2026-03-27 08:46:48
