排名,股票代码,股票名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,市盈率,市净率,总市值,更新时间
1,689009,九号公司-WD,0,0,0,0,0,0,0,0,0,46.45,19.13,4.67,33567420019.0,2026-03-27 09:02:39
2,688981,中芯国际,0,0,0,0,0,0,0,0,0,96.88,153.78,5.14,775181078206.0,2026-03-27 09:02:39
3,688819,天能股份,0,0,0,0,0,0,0,0,0,33.22,20.3,1.89,32293162000.0,2026-03-27 09:02:39
4,688818,电科蓝天,0,0,0,0,0,0,0,0,0,62.73,332.86,25.5,108957235620.0,2026-03-27 09:02:39
5,688816,易思维,0,0,0,0,0,0,0,0,0,62.83,82.1,8.37,6283000000.0,2026-03-27 09:02:39
6,688813,泰金新能,0,0,0,0,0,0,0,0,0,26.28,20.62,4.07,4204800000.0,2026-03-27 09:02:39
7,688811,有研复材,0,0,0,0,0,0,0,0,0,6.41,35.1,2.96,2379638580.0,2026-03-27 09:02:39
8,688809,强一股份,0,0,0,0,0,0,0,0,0,315.0,102.55,10.02,40811179500.0,2026-03-27 09:02:39
9,688807,优迅股份,0,0,0,0,0,0,0,0,0,211.84,192.31,9.6,16947200000.0,2026-03-27 09:02:39
10,688805,健信超导,0,0,0,0,0,0,0,0,0,43.16,96.35,5.92,7237068800.0,2026-03-27 09:02:39
11,688802,沐曦股份-U,0,0,0,0,0,0,0,0,0,605.81,-307.03,18.41,242384581000.0,2026-03-27 09:02:39
12,688800,瑞可达,0,0,0,0,0,0,0,0,0,88.29,59.14,7.65,18158987037.0,2026-03-27 09:02:39
13,688799,华纳药厂,0,0,0,0,0,0,0,0,0,49.06,26.68,3.15,6442559200.0,2026-03-27 09:02:39
14,688798,艾为电子,0,0,0,0,0,0,0,0,0,66.55,49.01,3.7,15514710726.0,2026-03-27 09:02:39
15,688796,百奥赛图,0,0,0,0,0,0,0,0,0,82.43,212.69,16.94,36837836761.0,2026-03-27 09:02:39
16,688795,摩尔线程-U,0,0,0,0,0,0,0,0,0,558.5,-256.28,22.96,262510759195.0,2026-03-27 09:02:39
