排名,股票代码,股票名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,市盈率,市净率,总市值,更新时间
1,300054,鼎龙股份,51.87,14.68,6.64,516535.0,2580474992.5,9.02,52.0,47.92,47.92,45.23,68.28,9.47,49176254845.0,2026-03-27 10:02:32
2,688068,热景生物,124.03,12.64,13.92,21061.0,249449665.0,16.73,125.99,107.57,109.08,110.11,-54.62,4.62,11498565798.0,2026-03-27 10:02:32
3,300858,科拓生物,16.96,11.87,1.8,63119.0,102582465.81,14.12,17.15,15.01,15.01,15.16,43.97,2.45,4468877201.0,2026-03-27 10:02:32
4,301327,华宝新能,79.36,10.75,7.7,87701.0,679392436.65,17.39,82.66,70.2,70.3,71.66,72.83,2.23,13838904412.0,2026-03-27 10:02:32
5,688141,杰华特,53.25,10.18,4.92,90520.0,457933072.0,13.86,53.5,46.8,47.9,48.33,-33.46,15.39,23979625679.0,2026-03-27 10:02:32
6,000822,山东海化,6.45,10.07,0.59,681208.0,433968306.72,8.02,6.45,5.98,6.04,5.86,-4.16,1.51,5773342923.0,2026-03-27 10:02:32
7,001313,粤海饲料,7.56,10.04,0.69,161009.0,118339227.08,9.9,7.56,6.88,6.88,6.87,151.5,2.08,5292000000.0,2026-03-27 10:02:32
8,000890,法尔胜,13.48,10.04,1.23,601427.0,788199417.29,8.41,13.48,12.45,13.09,12.25,-186.3,-1020.17,5654913489.0,2026-03-27 10:02:32
9,600769,祥龙电业,13.6,10.03,1.24,108395.0,142678779.0,10.92,13.6,12.25,12.27,12.36,222.24,42.44,5099689920.0,2026-03-27 10:02:32
10,002310,东方新能,3.84,10.03,0.35,4980884.0,1832349455.81,16.91,3.84,3.25,3.38,3.49,-8363.26,14.99,23037396929.0,2026-03-27 10:02:32
11,603585,苏利股份,20.74,10.03,1.89,28639.0,58783855.0,6.21,20.74,19.57,19.6,18.85,20.88,1.53,3876134418.0,2026-03-27 10:02:32
12,002265,建设工业,25.03,10.02,2.28,184140.0,449859383.44,11.12,25.03,22.5,22.55,22.75,647.92,7.08,25857001387.0,2026-03-27 10:02:32
13,603076,乐惠国际,28.12,10.02,2.56,51770.0,142334862.0,11.82,28.12,25.1,25.3,25.56,75.76,2.62,3394121793.0,2026-03-27 10:02:32
14,600727,鲁北化工,7.8,10.01,0.71,277000.0,212809978.0,7.76,7.8,7.25,7.25,7.09,71.27,1.29,4122948453.0,2026-03-27 10:02:32
